symbol,underlying_symbol,underlying_price,expiration_date,strike,contract_type,mark,bid,ask,delta,gamma,theta,vega,rho,open_interest,total_volume,volatility
SPXW_2024-10-16_C_5835.0,SPX,5841.88,2024-10-16,5835.0,CALL,21.625833333333333,21.625833333333333,21.625833333333333,0.5621966599994002,0.00874041686437839,-2732.575599466474,131.2693060638862,10.607551746283573,0,0,13.5358
SPXW241016C05840000,SPX,5841.88,2024-10-16,5840.0,CALL,17.74,17.64,17.84,0.5192571467083844,0.009470371378615226,-2578.4993191687254,132.73273365232032,9.804630536036852,0,2,12.6317
SPXW241016C05845000,SPX,5841.88,2024-10-16,5845.0,CALL,15.2,15.175,15.225,0.47174385309616435,0.009501057872705328,-2563.2588454871493,132.55412198548007,8.910463475770582,0,5,12.574
SPXW241016C05850000,SPX,5841.88,2024-10-16,5850.0,CALL,13.0,12.975,13.025,0.4247197762962377,0.009339874125667027,-2527.872371048083,130.51460294436797,8.024482802234974,0,20,12.5942
SPXW241016C05855000,SPX,5841.88,2024-10-16,5855.0,CALL,10.51,10.485,10.535,0.3748824197703712,0.009328384710855054,-2370.0639048871203,126.29736088215216,7.08601200427213,0,1,12.2022
SPXW241016C05860000,SPX,5841.88,2024-10-16,5860.0,CALL,8.44,8.415,8.465,0.3257302743146444,0.009062628060739604,-2202.2613037976944,119.99759042394287,6.159190013283182,0,22,11.9336
SPXW241016C05865000,SPX,5841.88,2024-10-16,5865.0,CALL,6.95,6.8875,7.0125,0.2821807572394481,0.00848997669398407,-2068.0637198509507,112.55018940957251,5.336893640904856,0,10,11.9479
SPXW241016C05870000,SPX,5841.88,2024-10-16,5870.0,CALL,5.38,5.355,5.405,0.23653690538284877,0.007924624569453368,-1845.8601379394656,102.73058640143864,4.475079406312767,0,1,11.6835
SPXW241016C05875000,SPX,5841.88,2024-10-16,5875.0,CALL,4.258,4.233,4.283,0.19799392004971472,0.007179633466190206,-1658.6156107422455,92.69045930318399,3.746676201978215,0,2,11.6355
SPXW_2024-10-16_C_5880.0,SPX,5841.88,2024-10-16,5880.0,CALL,3.372,3.372,3.372,0.1645125948411269,0.006386271984704339,-1478.201500387751,82.52804324249806,3.113642378206396,0,0,11.6468
SPXW241016C05885000,SPX,5841.88,2024-10-16,5885.0,CALL,2.486,2.461,2.511,0.13049462350436042,0.005565569411872415,-1243.0974830552182,70.65101713098724,2.470415906274442,0,2,11.4409
SPXW241016C05890000,SPX,5841.88,2024-10-16,5890.0,CALL,1.9,1.875,1.925,0.10469121302414547,0.004765096157129559,-1062.5785732406032,60.440407643336556,1.982234160615337,0,22,11.4316
SPXW241016C05895000,SPX,5841.88,2024-10-16,5895.0,CALL,1.4,1.375,1.425,0.08156521358722418,0.003987844819428581,-877.6489036392184,50.250519464783906,1.5446251797529884,0,1,11.3567
SPXW241016C05900000,SPX,5841.88,2024-10-16,5900.0,CALL,1.058,1.033,1.083,0.06416440687327074,0.003307786174607532,-732.5844144032694,41.812734861502314,1.2152417334821664,0,2,11.3926
SPXW241016C05905000,SPX,5841.88,2024-10-16,5905.0,CALL,0.792,0.767,0.817,0.04991627173872876,0.0027051906248956917,-603.0944835145817,34.30857168279569,0.9454901463625176,0,12,11.4303
SPXW241016C05910000,SPX,5841.88,2024-10-16,5910.0,CALL,0.63,0.605,0.655,0.0403654597558768,0.002242904869431428,-516.7534056626068,28.917325526297144,0.7646172435791209,0,10,11.6198
SPXW241016C05915000,SPX,5841.88,2024-10-16,5915.0,CALL,0.492,0.467,0.517,0.0321633156583539,0.0018382382061621723,-434.62821961112263,24.008823439474842,0.609281709497375,0,24,11.7712
